Id,Purpose,TargetAmount,CurrentAmount,IsApproved,BorrowerId
71,to install a display window and a sunshade for his shop and to increase his inventory.,2000,2000,True,71
72,to buy goods to sell.,125,125,True,72
73,to purchase additional feed for her pigs.,575,575,True,73
74,"buy more material to make dresses and suits and to start selling fabric, sarongs and shoes.",2775,2775,True,74
75,"to purchase bundles of wheat flour, maize flour, beans and sugar.",250,250,True,75
76,to buy piglets to raise ,275,275,True,76
77,to buy popular fruit and vegetables and sacks of charcoal to resell.,875,875,True,77
78,to purchase 800 day-old layer chicks,700,700,True,78
79,to buy business tailoring materials and sacks of charcoal to resell. ,1550,1550,True,79
80,to purchase more artificial hair and gasoline for her business.,250,250,True,80
81,"to stock food products like basic grains, sugar, soap, butter, meats, donuts, and other groceries to sell.",1000,1000,True,81
82,to repair the ceiling and install windows and doors.,2000,2000,True,82
83,to pave his floors and to build doors and windows,3000,3000,True,83
84,to purchase fertilizer and other farming supplies,575,575,True,84
85,to purchase sand and stone for expanding the business.,250,250,True,85
86,"To purchase standard quality seeds, fertilizers and pesticides for her vegetable cultivation.",3175,3175,True,86
87,to purchase an electric sewing machine and a variety of cloths for her new business.,3050,3050,True,87
88,"to pave the ground and repair the ceiling, to improve the house.",5000,4275,True,88
89,to buy food stock and sacks of charcoal to use for cooking and selling.,5475,5475,True,89
90,"to purchase more coconuts, dried meat, and sugar for her business.",125,125,True,90
91,"to buy more products like meats, dairy products and treats like churros, soft drinks, bread, sweets, and other items to sell.",1000,1000,True,91
92,to buy additional groceries to sell,350,350,True,92
93,To buy a motorcycle for his son's commute to school.   ,1500,1500,True,93
94,to buy food stock and sacks of charcoal ,5775,5775,True,94
95,to purchase more cow skin for her business,125,125,True,95
96,"to purchase more red oil, imported oil, rice, and dry pepper for her business.",325,325,True,96
97,to buy additional stocks for her sari-sari store.,325,325,True,97
98,"to buy medicines, sand and sacks of cement.",2200,2200,True,98
99,"to purchase onions, tomatoes, vegetables, and potatoes for resale.",600,600,True,99
100,hire more staff to keep up with the volume of orders coming in.,5000,5000,True,100
101,"to invest in working capital and to provide his business with food items, such as rice, beans, sugar, milk, bread, soap, detergent and matches. ",1000,1000,True,101
102,To buy a new juki sewing machine and some packs of zippers and buttons for her tailoring business.,1250,1250,True,102
103,to buy supplies.,3975,3975,True,103
104,"To purchase bean seeds, fertilizers, and pesticides for farming broad beans in her own land.",250,250,True,104
105,To purchase two piglets and five sacks of feeds,350,350,True,105
106,to purchase additional fishing materials.,350,350,True,106
107,To be used in purchasing additional groceries and other consumable products,350,350,True,107
108,to restock additional lumber to sell,925,925,True,108
109,"to purchase 3 bundles of wheat flour, cooking fat and sugar.",350,350,True,109
110,To buy a calf to raise. ,600,600,True,110
111,To purchase more grocery items to sell,200,200,True,111
112,to buy various item such as incense and plastic pouches for resale.,225,225,True,112
113,to pay the annual rent for his shop,2400,1925,True,113
114,"to purchase green vegetables, fruits, tomatoes, potatoes and onions to sell.",250,250,True,114
115,buy solar lanterns for sale.,125,125,True,115
116,to buy new clothes for sale,250,250,True,116
117,to purchase more inventory to sell,4000,4000,True,117
118,to purchase additional feed and piglets.,475,475,True,118
119,to purchase feed and vaccines for her pigs,175,175,True,119
120,to buy cosmetics for her business.,150,150,True,120
121,to purchase more stocks of ready-to-wear items to sell.,125,125,True,121
122,"to purchase hair extensions, hair treatments, and shampoos.",250,250,True,122
123,to buy more plantain to sell,200,200,True,123
124,to purchase more charcoal for her business.,325,325,True,124
125,to buy additional needed housing materials,1150,1150,True,125
126,"To purchase additional meats, vegetables and rice.",250,250,True,126
127,"to purchase more goods, buy shelves and decorate. ",1300,1300,True,127
128,To buy a motorbike for family transportation. ,1000,1000,True,128
129,to buy more goods to sell in her general store,150,150,True,129
130,"to buy rice, maize flour, baking flour, beans, meat, cooking oil and cold drinks.",4625,4625,True,130
131,To buy another cow for her husband to raise and more grocery items for resale,1500,1500,True,131
132,to purchase cattle for tilling his farmland,1000,1000,True,132
133,to purchase bales of clothes for resale,250,250,True,133
134,"to buy more stock, including clothes, artificial hair, and cold water",250,250,True,134
135,to purchase cloth materials and sewing threads for her business.,250,250,True,135
136,"to purchase raw materials, such as ferrous metals to process and resell",850,850,True,136
137,to buy more red oil to sell ,175,175,True,137
138,"to buy more products such as basic grains, meats, soft drinks, churros (fried dough pastries), and other items to sell.",750,750,True,138
139,to purchase wood for expanding the existing business of supplying wood.,250,250,True,139
140,to buy additional goods to sell,325,325,True,140
141,Food Production/Sales,2975,2975,True,141
142,to pay for her degree.,1175,1175,True,142
143,to pay for the construction of a hygienic toilet and a hand-washing device with soap.		 		 		 		 		,4750,4750,True,143
144,to purchase more used clothes for her business.,375,375,True,144
145,to buy more clothes to sell retail,1025,1025,True,145
146,Personal Expenses,1200,1200,True,146
147,to buy shea nuts.,1325,1325,True,147
148,"to buy feeds, vaccines, and other supplies for her business.",200,200,True,148
149,to buy more stock of clothes.,250,250,True,149
150,to purchase more items to sell in her general store,250,250,True,150
